Patient Question,Corrected Professional Acupuncture Points,Additional Professional Points (Alternative/Support),Herbal Pharmacopeia Formula
Do you tend to feel more cold or more hot compared with other people?,"CV4, CV6, ST36, BL23 (with moxa)","GV4 (Mingmen), KI7, SP6, BL20 (with moxa)",Si Ni Tang (四逆汤) - Warm Yang; Gui Zhi Tang (桂枝汤) - Exterior Cold
"Do you experience chills, fever, or alternating hot and cold sensations?","CV4, CV6, ST36, BL23 (with moxa)","GV4 (Mingmen), KI7, SP6, BL20 (with moxa)",Si Ni Tang (四逆汤) - Warm Yang; Gui Zhi Tang (桂枝汤) - Exterior Cold
"Do you sweat easily during the day or at night, and in which areas?","KI3, HT6, SP6, BL23","KI7, LU7, CV4, BL15",Dang Gui Liu Huang Tang (当归六黄汤) - Stop night sweats
"Do you often feel heaviness, dizziness, or pain in the head or body?","GB20, LV3, GV20, PC6","ST36, SP6, GB34, ST8",Tian Ma Gou Teng Yin (天麻钩藤饮) - Dizziness; Ban Xia Bai Zhu Tian Ma Tang (半夏白术天麻汤) - Dampness
"Do you feel fullness, tightness, or discomfort in the chest or abdomen?","CV17, PC6, CV12, ST36","LV14, CV6, SP4, BL20",Xiao Yao San (逍遥散) - Qi stagnation; Bao He Wan (保和丸) - Food stagnation
"How is your appetite—too strong, normal, low, or varying?","ST36, SP6, CV12, BL20","ST25, SP3, BL21, CV6",Si Jun Zi Tang (四君子汤) - Low appetite; Bao He Wan (保和丸) - Excess appetite
"Do you feel very thirsty, slightly thirsty, or rarely thirsty, and what temperature drinks do you prefer?","KI3, KI6, SP6, ST36","CV12, LU5, LI11, ST44",Liu Wei Di Huang Wan (六味地黄丸) - Yin deficiency; Bai Hu Tang (白虎汤) - Heat
"How are your bowel movements in frequency, form, and ease?","ST25, ST36, SP6, BL25","ST37, LI4, CV12, BL20",Si Jun Zi Tang (四君子汤) - Loose stools; Ma Zi Ren Wan (麻子仁丸) - Constipation
"How often do you urinate, what color is it, and do you feel burning or urgency?","CV3, BL28, SP9, BL23","CV4, SP6, KI3, BL22",Ba Zheng San (八正散) - Damp-Heat; Jin Gui Shen Qi Wan (金匮肾气丸) - Yang deficiency
