id,age_group,patient_question_prompt
1,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 1."
2,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 2."
3,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 3."
4,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 4."
5,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 5."
6,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 6."
7,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 7."
8,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 8."
9,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 9."
10,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 10."
